Zip,Median,Pop,Zipcode
1740,"125,741","4,125",17400
1741,"155,000","4,798",17410
1742,"119,902","17,075",17420
1745,"114,761",331,17450
1746,"101,901","13,866",17460
1747,"97,227","5,815",17470
1748,"121,182","13,318",17480
1749,"76,500","18,081",17490
1752,"71,835","36,273",17520
1754,"76,228","10,414",17540
1756,"102,625","5,257",17560
1757,"68,565","26,877",17570
1760,"90,673","31,763",17600
1770,"145,250","4,245",17700
1772,"141,459","8,435",17720
1773,"143,771","5,143",17730
1775,"117,440","5,902",17750
1776,"152,789","16,826",17760
1778,"140,652","13,191",17780
1801,"71,805","37,213",18010
1803,"90,659","22,954",18030
1810,"113,874","31,228",18100
1821,"87,745","29,306",18210
1824,"99,032","25,234",18240
1826,"71,731","28,728",18260
1827,"113,594","2,847",18270
1830,"63,388","24,320",18300
1832,"57,959","21,246",18320
1833,"97,895","7,356",18330
1834,"84,232","6,027",18340
1835,"76,253","13,426",18350
1840,"18,507","4,350",18400
1841,"34,128","44,474",18410
1843,"42,587","23,184",18430
1844,"66,023","43,770",18440
1845,"99,505","27,203",18450
1850,"54,087","15,688",18500
1851,"51,795","29,549",18510
1852,"55,089","32,848",18520
1854,"44,616","26,785",18540
1860,"75,517","6,145",18600
1862,"86,304","10,097",18620
1863,"77,458","8,558",18630
1864,"97,574","13,849",18640
1867,"103,358","23,657",18670
1876,"83,976","28,599",18760
1879,"92,239","11,092",18790
1880,"89,830","24,610",18800
1886,"123,906","20,811",18860
1887,"97,107","21,279",18870
1890,"128,546","20,806",18900
1901,"18,257","1,630",19010
1902,"38,107","45,617",19020
1904,"69,263","17,916",19040
1905,"42,449","23,905",19050
1906,"69,051","26,160",19060
1907,"90,516","14,463",19070
1913,"73,843","16,447",19130
1915,"71,363","39,854",19150
1921,"143,045","7,903",19210
1922,"91,052","3,041",19220
1923,"76,695","25,239",19230
1929,"76,989","3,272",19290
1930,"63,047","30,261",19300
1938,"82,395","12,981",19380
1940,"90,677","11,926",19400
1944,"105,000","5,234",19440
1945,"95,942","20,370",19450
1949,"87,728","7,748",19490
1950,"76,313","17,249",19500
1951,"91,052","3,622",19510
1952,"62,924","7,819",19520
1960,"67,119","47,991",19600
1966,"73,676","7,762",19660
1969,"74,911","5,504",19690
1970,"57,313","40,268",19700
1982,"97,491","8,299",19820
1983,"115,015","6,132",19830
1984,"132,697","4,451",19840
1985,"111,739","4,160",19850
2019,"77,420","15,248",20190
2021,"88,829","20,755",20210
2025,"114,214","7,255",20250
2026,"85,131","23,478",20260
2030,"164,583","5,561",20300
2032,"77,708","3,576",20320
2035,"94,994","16,163",20350
2038,"92,042","29,553",20380
2043,"99,910","19,867",20430
2045,"70,039","11,047",20450
2047,"75,170",247,20470
2048,"93,593","22,393",20480
2050,"85,395","24,577",20500
2052,"123,176","12,254",20520
2053,"100,950","12,503",20530
2054,"85,472","7,892",20540
2056,"111,767","10,608",20560
2061,"106,730","9,785",20610
2062,"72,935","28,563",20620
2066,"92,394","17,349",20660
2067,"117,828","17,425",20670
2071,"91,781",956,20710
2072,"69,340","27,342",20720
2081,"92,954","18,430",20810
2090,"116,083","14,150",20900
2093,"94,524","10,446",20930
2108,"96,033","3,324",21080
2109,"92,310","3,278",21090
2110,"102,972","1,606",21100
2111,"31,442","4,948",21110
2113,"60,386","6,453",21130
2114,"69,809","11,170",21140
2115,"30,282","25,637",21150
2116,"80,153","19,480",21160
2118,"51,368","22,527",21180
2119,"36,316","23,537",21190
2120,"28,794","11,553",21200
2121,"28,897","24,772",21210
2122,"45,859","24,385",21220
2124,"43,598","51,236",21240
2125,"44,266","32,937",21250
2126,"51,733","27,685",21260
2127,"64,285","29,457",21270
2128,"42,613","38,185",21280
2129,"80,223","15,195",21290
2130,"69,576","34,961",21300
2131,"62,945","30,491",21310
2132,"76,802","25,943",21320
2134,"33,863","19,641",21340
2135,"52,714","41,833",21350
2136,"54,410","26,418",21360
2138,"68,127","34,994",21380
2139,"62,821","35,273",21390
2140,"65,283","17,158",21400
2141,"57,909","12,010",21410
2142,"61,141","1,823",21420
2143,"64,966","24,864",21430
2144,"68,004","24,248",21440
2145,"50,718","26,833",21450
2148,"55,890","56,273",21480
2149,"49,696","38,109",21490
2150,"40,344","34,956",21500
2151,"51,723","47,323",21510
2152,"68,218","18,303",21520
2155,"69,803","57,291",21550
2163,"23,429",929,21630
2169,"56,647","52,278",21690
2170,"64,309","19,203",21700
2171,"66,808","16,610",21710
2176,"85,681","27,173",21760
2180,"78,103","22,116",21800
2184,"77,129","33,731",21840
2186,"98,712","26,112",21860
2188,"65,251","13,828",21880
2189,"62,491","14,455",21890
2190,"74,205","16,780",21900
2191,"68,143","8,916",21910
2199,"68,080","1,004",21990
2203,"106,602",1,22030
2210,"61,807",413,22100
2215,"30,726","21,896",22150
2301,"48,470","61,459",23010
2302,"62,408","32,523",23020
2322,"67,313","4,483",23220
2324,"80,879","22,922",23240
2330,"70,048","11,169",23300
2332,"116,904","14,241",23320
2333,"82,133","13,012",23330
2339,"104,787","13,171",23390
2341,"81,912","9,550",23410
2343,"62,560","10,705",23430
2346,"72,466","19,926",23460
2347,"94,495","9,810",23470
2351,"75,850","14,614",23510
2356,"99,682","12,966",23560
2357,"101,136",323,23570
2359,"83,622","16,907",23590
2360,"74,603","51,563",23600
2364,"78,923","11,805",23640
2366,"89,632",126,23660
2367,"87,917","2,622",23670
2368,"65,118","30,999",23680
2370,"62,855","17,665",23700
2375,"78,410","9,034",23750
2379,"73,651","6,610",23790
2382,"77,027","13,867",23820
2420,"139,453","14,109",24200
2421,"126,827","16,360",24210
2445,"105,027","21,282",24450
2446,"67,338","24,351",24460
2451,"78,675","17,553",24510
2452,"67,088","12,642",24520
2453,"59,067","29,043",24530
2457,"179,792",551,24570
2458,"90,740","12,603",24580
2459,"128,598","18,940",24590
2460,"107,495","8,772",24600
2461,"110,373","6,599",24610
2462,"134,119","1,679",24620
2464,"81,143","2,958",24640
2465,"110,531","11,789",24650
2466,"115,116","7,010",24660
2467,"130,044","15,408",24670
2468,"166,454","5,429",24680
2472,"74,968","32,913",24720
2474,"82,845","25,806",24740
2476,"83,975","16,533",24760
2478,"95,269","24,296",24780
2481,"173,681","14,503",24810
2482,"123,003","11,569",24820
2492,"118,211","20,064",24920
2493,"147,946","11,526",24930
2494,"104,492","8,885",24940
2532,"60,257","11,275",25320
2534,"60,788",865,25340
2535,"68,906","1,182",25350
2536,"61,733","19,684",25360
2537,"86,643","5,732",25370
2538,"54,545","3,528",25380
2539,"67,625","3,771",25390
2540,"58,667","8,794",25400
2542,"39,803","1,588",25420
2543,"82,355",845,25430
2553,"70,197",249,25530
2554,"61,502","6,889",25540
2556,"67,750","3,352",25560
2557,"59,156","3,684",25570
2558,"51,662","1,779",25580
2559,"62,761","3,309",25590
2561,"68,597",481,25610
2562,"68,960","2,881",25620
2563,"84,184","10,346",25630
2564,"81,944",388,25640
2568,516,31,25680
2571,"55,500","10,045",25710
2575,"68,906","2,438",25750
2576,"62,034","3,213",25760
2584,"81,944",4,25840
2601,"44,219","15,104",26010
2630,"71,383","1,873",26300
2631,"58,280","9,796",26310
2632,"67,464","11,376",26320
2633,"65,871","4,282",26330
2635,"75,166","3,412",26350
2637,"71,516",277,26370
2638,"56,770","3,700",26380
2639,"47,356","3,363",26390
2641,"61,013",719,26410
2642,"59,536","5,431",26420
2643,"62,589",45,26430
2644,"82,198","3,876",26440
2645,"55,137","9,578",26450
2646,"52,700","1,947",26460
2647,"47,353",168,26470
2648,"71,212","7,610",26480
2649,"62,993","12,960",26490
2650,"64,477",979,26500
2651,"54,464",13,26510
2652,"80,425","1,288",26520
2653,"57,062","6,359",26530
2655,"72,786","3,956",26550
2657,"44,646","3,430",26570
2659,"67,569","1,102",26590
2660,"52,611","6,546",26600
2663,"66,109",130,26630
2664,"46,673","9,702",26640
2666,"80,425",790,26660
2667,"66,118","2,614",26670
2668,"71,947","3,274",26680
2669,"67,569",259,26690
2670,"36,555","1,630",26700
2671,"55,677","1,061",26710
2672,"51,601",249,26720
2673,"46,414","8,985",26730
2675,"63,557","6,712",26750
2702,"91,095","3,869",27020
2703,"67,398","41,916",27030
2713,"68,906",55,27130
2715,"83,613","2,591",27150
2717,"75,793","4,594",27170
2718,"81,142","6,406",27180
2719,"53,936","16,150",27190
2720,"47,794","31,309",27200
2721,"32,106","26,428",27210
2723,"30,338","16,231",27230
2724,"30,652","17,397",27240
2725,"65,712","2,663",27250
2726,"68,267","15,530",27260
2738,"101,006","5,118",27380
2739,"74,877","6,282",27390
2740,"38,238","43,249",27400
2743,"70,836","10,148",27430
2744,"31,128","11,667",27440
2745,"51,951","23,851",27450
2746,"24,099","14,861",27460
2747,"72,292","19,451",27470
2748,"72,885","11,531",27480
2760,"79,274","25,526",27600
2762,"73,645","7,678",27620
2763,"76,722","1,782",27630
2764,"83,621","3,623",27640
2766,"77,953","17,869",27660
2767,"76,338","11,839",27670
2769,"90,530","10,179",27690
2770,"95,022","4,397",27700
2771,"73,961","13,507",27710
2777,"70,245","15,945",27770
2779,"81,125","5,748",27790
2780,"53,796","49,469",27800
2790,"68,367","14,305",27900
2791,"72,105",302,27910
2802,"62,982",733,28020
2804,"71,104","2,574",28040
2806,"105,128","16,818",28060
2807,"75,417","1,009",28070
2808,"73,725","2,279",28080
2809,"65,256","22,438",28090
2812,"72,819","1,216",28120
2813,"69,956","7,847",28130
2814,"79,171","7,664",28140
2815,"78,476",257,28150
2816,"68,135","31,625",28160
2817,"81,419","5,095",28170
2818,"90,430","18,176",28180
2822,"98,411","5,697",28220
2825,"73,268","4,922",28250
2826,"65,948",832,28260
2827,"79,051","2,149",28270
2828,"78,326","7,396",28280
2830,"65,423","5,806",28300
2831,"68,687","3,487",28310
2832,"71,453","4,481",28320
2833,"71,104",708,28330
2835,"77,813","5,617",28350
2836,"72,819",98,28360
2837,"94,866","3,592",28370
2838,"62,982","3,712",28380
2839,"65,948","1,833",28390
2840,"58,815","25,661",28400
2841,"53,958",840,28410
2842,"70,801","17,305",28420
2852,"76,449","23,107",28520
2857,"74,686","8,462",28570
2858,"65,948",545,28580
2859,"70,127","6,798",28590
2860,"35,154","46,470",28600
2861,"53,929","26,624",28610
2863,"33,666","18,946",28630
2864,"73,450","31,834",28640
2865,"75,540","16,435",28650
2871,"59,264","12,418",28710
2872,"71,705",88,28720
2873,"71,104",161,28730
2874,"90,020","5,081",28740
2875,"72,819",307,28750
2876,"80,080",80,28760
2878,"62,530","15,257",28780
2879,"70,848","19,172",28790
2881,"47,075","6,387",28810
2882,"61,144","14,807",28820
2885,"54,317","11,386",28850
2886,"59,954","30,234",28860
2888,"58,509","20,650",28880
2889,"60,122","29,615",28890
2891,"61,399","21,338",28910
2892,"80,222","4,846",28920
2893,"52,342","29,518",28930
2894,"72,539",730,28940
2895,"40,457","43,198",28950
2896,"79,213","10,549",28960
2898,"72,768","1,672",28980
2903,"26,262","9,350",29030
2904,"44,102","28,539",29040
2905,"34,503","20,393",29050
2906,"64,563","29,878",29060
2907,"30,216","27,163",29070
2908,"40,373","38,036",29080
2909,"33,877","40,945",29090
2910,"58,287","20,959",29100
2911,"48,687","15,508",29110
2912,"60,938","1,016",29120
2914,"46,275","22,316",29140
2915,"52,780","18,127",29150
2916,"59,302","8,220",29160
2917,"71,030","13,288",29170
2919,"59,408","28,253",29190
2920,"54,380","37,423",29200
2921,"85,748","10,608",29210
3031,"115,544","10,879",30310
3032,"90,082","4,674",30320
3033,"101,722","4,185",30330
3034,"90,986","3,961",30340
3036,"99,970","3,785",30360
3037,"85,573","3,638",30370
3038,"72,374","33,893",30380
3042,"73,405","5,479",30420
3043,"67,541","1,500",30430
3044,"76,929","3,491",30440
3045,"76,696","12,705",30450
3046,"95,682","2,226",30460
3047,"69,136","1,686",30470
3048,"63,151","3,333",30480
3049,"112,885","7,013",30490
3051,"77,996","22,952",30510
3052,"100,051","7,331",30520
3053,"93,465","23,364",30530
3054,"92,954","25,094",30540
3055,"70,617","13,437",30550
3057,"97,234","2,091",30570
3060,"45,861","29,540",30600
3062,"83,501","26,234",30620
3063,"75,894","16,175",30630
3064,"68,657","14,652",30640
3070,"86,118","4,097",30700
3071,"72,739","4,294",30710
3076,"93,085","10,913",30760
3077,"61,164","9,669",30770
3079,"68,841","28,011",30790
3082,"80,299","1,519",30820
3084,"72,806","1,270",30840
3086,"68,090","3,775",30860
3087,"114,204","10,705",30870
3101,"28,275","2,754",31010
3102,"50,355","30,331",31020
3103,"51,018","36,749",31030
3104,"61,017","31,954",31040
3106,"53,663","7,285",31060
3109,"67,513","9,484",31090
3110,"117,684","18,257",31100
3215,"49,073",256,32150
3216,"64,522","1,985",32160
3217,"44,153","1,924",32170
3218,"65,727",918,32180
3220,"56,585","6,777",32200
3221,"67,314","1,796",32210
